GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
P8.rewardCentral,rewardCentral.Controller,RewardCentralController,6,27,0,0,2,6,1,2,1,2
P8.rewardCentral,rewardCentral,RewardCentralApplication,5,3,0,0,2,1,1,1,1,1
P8.rewardCentral,rewardCentral.Service,RewardCentralServiceImpl,0,28,0,0,0,8,0,2,0,2
P8.rewardCentral,rewardCentral.Model,RewardPointsMapper,4,9,0,0,2,4,1,2,1,2
